Country_all,Polymer_all,Density_all,Shape_all,Size_all,Diameter_all,v_Surf2Col_cont_median_all,v_Col2Sed_cont_median_all,k_Surf2glo_median_all,k_Col2glo_median_all,v_Surf2Col_glo_median_all,v_Col2Sed_glo_median_all,v_Surf2Sed_cont_median_all,v_Surf2Sed_glo_median_all
BayBengal,EPS,0.03,sphere,0.005,0.005,0.018685911,0.490301834,0.079626216,0.022236118,0.07925047,0.264347239,NaN,NaN
BayBengal,EPS,0.03,sphere,0.001,0.001,0.026476879,0.717593475,0.022716644,0.072480592,0.144329398,157.1668181,NaN,NaN
BayBengal,EPS,0.03,sphere,0.0001,0.0001,0.066176414,14.7687173,NaN,0.127526132,NaN,33.75419916,NaN,NaN
BayBengal,EPS,0.03,sphere,1.00E-05,1.00E-05,0.096744169,1.218404168,0.127659574,0.031069059,1.154039552,0.787929278,NaN,NaN
BayBengal,EPS,0.03,sphere,1.00E-06,1.00E-06,0.027998619,0.772172332,0.019694802,0.050632911,0.191581015,0.667890663,NaN,NaN
BayBengal,EPS,0.03,fiber,0.005,0.001,0.022258077,0.718703038,0.023210832,0.097808765,0.064931631,56.33451558,NaN,NaN
BayBengal,EPS,0.03,fiber,0.001,0.0001,0.041015571,13.40602149,NaN,0.094488189,NaN,9.143088261,NaN,NaN
BayBengal,EPS,0.03,fiber,0.0001,1.00E-05,0.274157922,10.84665003,NaN,NaN,NaN,NaN,NaN,NaN
BayBengal,EPS,0.03,fiber,5.00E-05,1.00E-06,0.203578513,1.343844889,0.120603015,0.045801527,0.676443381,0.89587159,NaN,NaN
BayBengal,EPS,0.03,fiber,0.025,0.005,0.039727939,0.842458291,0.0353622,0.036036036,0.07432186,0.595775025,NaN,NaN
BayBengal,HDPE,0.953,sphere,0.005,0.005,0.036318223,1.483172961,0.026343806,0.046260773,0.282103865,253.691542,NaN,NaN
BayBengal,HDPE,0.953,sphere,0.001,0.001,0.075602839,30.46297722,NaN,NaN,NaN,NaN,NaN,NaN
BayBengal,HDPE,0.953,sphere,0.0001,0.0001,0.410386906,19.90294168,NaN,NaN,NaN,NaN,NaN,NaN
BayBengal,HDPE,0.953,sphere,1.00E-05,1.00E-05,0.185859349,1.275388865,0.119701493,0.043638672,1.211092311,0.793830833,NaN,NaN
BayBengal,HDPE,0.953,sphere,1.00E-06,1.00E-06,0.028159004,0.758670011,0.030771095,0.043956044,0.078848046,0.512930934,NaN,NaN
BayBengal,HDPE,0.953,fiber,0.005,0.001,0.050721048,14.16819665,NaN,0.175182482,NaN,7.696368633,NaN,NaN
BayBengal,HDPE,0.953,fiber,0.001,0.0001,0.368298071,37.5082269,NaN,NaN,NaN,NaN,NaN,NaN
BayBengal,HDPE,0.953,fiber,0.0001,1.00E-05,0.91147646,12.3211647,NaN,NaN,NaN,NaN,NaN,NaN
BayBengal,HDPE,0.953,fiber,5.00E-05,1.00E-06,0.220640602,1.4611128,0.120913706,0.071216617,0.742357405,0.925108131,NaN,NaN
BayBengal,HDPE,0.953,fiber,0.025,0.005,0.035678356,0.882323849,0.022450967,0.048096192,0.165770306,347.9408155,NaN,NaN
BayBengal,LDPE,0.915,sphere,0.005,0.005,0.031053328,0.724218707,0.020887792,0.053078597,0.193733099,269.0868189,NaN,NaN
BayBengal,LDPE,0.915,sphere,0.001,0.001,0.049386668,16.53683527,NaN,0.062036253,NaN,107.2668311,NaN,NaN
BayBengal,LDPE,0.915,sphere,0.0001,0.0001,0.294310735,19.03768176,NaN,NaN,NaN,NaN,NaN,NaN
BayBengal,LDPE,0.915,sphere,1.00E-05,1.00E-05,0.154562999,1.154246322,0.12371134,0.04039435,0.620590354,0.742803789,NaN,NaN
BayBengal,LDPE,0.915,sphere,1.00E-06,1.00E-06,0.031137035,0.815331838,0.025373914,0.06549544,0.075325245,0.494471098,NaN,NaN
BayBengal,LDPE,0.915,fiber,0.005,0.001,0.034292363,7.036074669,NaN,0.068091168,NaN,59.42733178,NaN,NaN
