polymer;size;CF_mid_lower;CF_mid;CF_mid_upper;CF_end_lower;CF_end;CF_end_upper
EPS;5000;2.00E+07;2.54E+08;3.23E+09;3.54E+02;6.98E+03;1.38E+05
EPS;1000;3.91E+06;5.20E+07;6.92E+08;6.98E+01;1.43E+03;2.93E+04
EPS;100;3.83E+05;5.20E+06;7.04E+07;6.86E+00;1.43E+02;2.98E+03
EPS;10;3.78E+04;5.12E+05;6.95E+06;6.77E-01;1.41E+01;2.93E+02
EPS;1;3.75E+03;5.08E+04;6.88E+05;6.72E-02;1.40E+00;2.90E+01
HDPE;5000;5.80E+07;4.02E+08;2.79E+09;9.30E+02;1.11E+04;1.31E+05
HDPE;1000;2.67E+07;2.33E+08;2.03E+09;4.50E+02;6.41E+03;9.14E+04
HDPE;100;3.15E+06;4.84E+07;7.46E+08;5.80E+01;1.33E+03;3.06E+04
HDPE;10;2.15E+05;4.73E+06;1.04E+08;4.13E+00;1.30E+02;4.10E+03
HDPE;1;1.26E+04;3.13E+05;7.81E+06;2.44E-01;8.62E+00;3.05E+02
LDPE;5000;4.08E+07;3.23E+08;2.56E+09;6.84E+02;8.89E+03;1.16E+05
LDPE;1000;1.30E+07;1.55E+08;1.85E+09;2.31E+02;4.27E+03;7.89E+04
LDPE;100;1.15E+06;2.56E+07;5.69E+08;2.18E+01;7.05E+02;2.28E+04
LDPE;10;7.05E+04;2.24E+06;7.10E+07;1.35E+00;6.15E+01;2.81E+03
LDPE;1;4.19E+03;1.50E+05;5.38E+06;8.00E-02;4.13E+00;2.13E+02
PA/Nylon;5000;1.31E+07;1.81E+08;2.50E+09;2.36E+02;4.97E+03;1.05E+05
PA/Nylon;1000;3.59E+06;7.42E+07;1.53E+09;6.81E+01;2.04E+03;6.11E+04
PA/Nylon;100;3.33E+05;1.08E+07;3.52E+08;6.63E+00;2.98E+02;1.34E+04
PA/Nylon;10;2.68E+04;9.96E+05;3.70E+07;5.40E-01;2.74E+01;1.39E+03
PA/Nylon;1;1.46E+03;5.58E+04;2.14E+06;2.95E-02;1.53E+00;8.00E+01
PET;5000;2.72E+07;3.07E+08;3.48E+09;4.89E+02;8.46E+03;1.46E+05
PET;1000;1.55E+07;2.16E+08;3.00E+09;2.90E+02;5.93E+03;1.21E+05
PET;100;2.55E+06;6.98E+07;1.91E+09;5.22E+01;1.92E+03;7.06E+04
PET;10;2.14E+05;1.07E+07;5.34E+08;4.64E+00;2.94E+02;1.86E+04
PET;1;1.53E+04;9.70E+05;6.13E+07;3.38E-01;2.67E+01;2.11E+03
PHA;5000;9.81E+05;1.59E+07;2.57E+08;1.85E+01;4.36E+02;1.03E+04
PHA;1000;1.91E+05;3.23E+06;5.46E+07;3.62E+00;8.88E+01;2.18E+03
PHA;100;1.47E+04;2.40E+05;3.91E+06;2.76E-01;6.60E+00;1.58E+02
PHA;10;6.79E+02;9.31E+03;1.28E+05;1.22E-02;2.56E-01;5.36E+00
PHA;1;3.78E+01;3.31E+02;2.90E+03;6.20E-04;9.11E-03;1.34E-01
PLA;5000;3.25E+07;3.61E+08;4.01E+09;5.88E+02;9.92E+03;1.67E+05
PLA;1000;2.78E+07;3.15E+08;3.57E+09;5.04E+02;8.65E+03;1.49E+05
PLA;100;1.08E+07;1.62E+08;2.44E+09;2.03E+02;4.45E+03;9.76E+04
PLA;10;1.35E+06;3.56E+07;9.33E+08;2.72E+01;9.78E+02;3.52E+04
PLA;1;1.20E+05;4.13E+06;1.43E+08;2.46E+00;1.14E+02;5.25E+03
PP;5000;3.27E+07;2.01E+08;1.24E+09;5.17E+02;5.53E+03;5.92E+04
PP;1000;8.87E+06;5.89E+07;3.91E+08;1.43E+02;1.62E+03;1.84E+04
PP;100;7.91E+05;4.91E+06;3.05E+07;1.25E+01;1.35E+02;1.47E+03
PP;10;5.86E+04;2.65E+05;1.20E+06;8.41E-01;7.30E+00;6.33E+01
PP;1;4.82E+03;1.93E+04;7.75E+04;6.63E-02;5.31E-01;4.26E+00
PS;5000;7.50E+07;5.04E+08;3.39E+09;1.18E+03;1.39E+04;1.63E+05
PS;1000;6.09E+07;4.03E+08;2.67E+09;9.41E+02;1.11E+04;1.31E+05
PS;100;1.73E+07;1.48E+08;1.27E+09;2.77E+02;4.08E+03;5.99E+04
PS;10;1.70E+06;2.04E+07;2.46E+08;2.85E+01;5.62E+02;1.11E+04
PS;1;1.09E+05;1.44E+06;1.90E+07;1.84E+00;3.96E+01;8.53E+02
PVC;5000;3.40E+07;3.77E+08;4.19E+09;6.01E+02;1.04E+04;1.79E+05
PVC;1000;3.38E+07;3.73E+08;4.12E+09;5.96E+02;1.03E+04;1.77E+05
PVC;100;3.12E+07;3.34E+08;3.57E+09;5.49E+02;9.18E+03;1.54E+05
PVC;10;1.66E+07;1.78E+08;1.91E+09;2.92E+02;4.90E+03;8.20E+04
PVC;1;2.72E+06;3.53E+07;4.59E+08;4.93E+01;9.71E+02;1.91E+04
TRWP;5000;2.78E+07;3.24E+08;3.76E+09;5.06E+02;8.90E+03;1.56E+05
TRWP;1000;1.84E+07;2.45E+08;3.26E+09;3.40E+02;6.73E+03;1.34E+05
TRWP;100;3.81E+06;9.07E+07;2.16E+09;7.50E+01;2.49E+03;8.29E+04
TRWP;10;3.49E+05;1.54E+07;6.76E+08;7.23E+00;4.22E+02;2.47E+04
TRWP;1;2.75E+04;1.54E+06;8.58E+07;5.78E-01;4.22E+01;3.08E+03
PAN/Acrylic;5000;3.39E+07;3.78E+08;4.20E+09;5.96E+02;1.04E+04;1.81E+05
PAN/Acrylic;1000;3.37E+07;3.73E+08;4.13E+09;5.92E+02;1.03E+04;1.78E+05
PAN/Acrylic;100;3.13E+07;3.34E+08;3.56E+09;5.47E+02;9.19E+03;1.54E+05
PAN/Acrylic;10;1.69E+07;1.78E+08;1.88E+09;2.95E+02;4.90E+03;8.17E+04
PAN/Acrylic;1;2.81E+06;3.53E+07;4.45E+08;4.99E+01;9.72E+02;1.89E+04
