polymer,size,CF_end_lower,CF_end,CF_end_upper,CF_end_fw,CF_end_fw_lower,CF_end_fw_upper
EPS,5000,1.55E-11,3.17E-10,6.49E-09,2.34E-10,1.16E-11,4.72E-09
EPS,1000,3.05E-12,6.49E-11,1.38E-09,4.79E-11,2.29E-12,1.00E-09
EPS,100,3.00E-13,6.49E-12,1.40E-10,4.79E-12,2.25E-13,1.02E-10
EPS,10,2.96E-14,6.40E-13,1.38E-11,4.73E-13,2.22E-14,1.01E-11
EPS,1,2.94E-15,6.34E-14,1.37E-12,4.69E-14,2.20E-15,9.98E-13
HDPE,5000,4.06E-11,5.02E-10,6.20E-09,3.76E-10,2.95E-11,4.80E-09
HDPE,1000,1.97E-11,2.91E-10,4.30E-09,2.17E-10,1.38E-11,3.42E-09
HDPE,100,2.56E-12,6.05E-11,1.43E-09,4.49E-11,1.72E-12,1.17E-09
HDPE,10,1.82E-13,5.90E-12,1.91E-10,4.42E-12,1.24E-13,1.58E-10
HDPE,1,1.08E-14,3.91E-13,1.42E-11,2.93E-13,7.52E-15,1.14E-11
LDPE,5000,3.00E-11,4.04E-10,5.44E-09,3.04E-10,2.22E-11,4.18E-09
LDPE,1000,1.01E-11,1.94E-10,3.71E-09,1.46E-10,7.73E-12,2.77E-09
LDPE,100,9.57E-13,3.20E-11,1.07E-09,2.43E-11,7.58E-13,7.81E-10
LDPE,10,5.94E-14,2.79E-12,1.31E-10,2.16E-12,4.81E-14,9.66E-11
LDPE,1,3.52E-15,1.88E-13,9.98E-12,1.46E-13,2.83E-15,7.53E-12
PA_Nylon,5000,1.04E-11,2.26E-10,4.91E-09,2.19E-11,1.02E-12,4.73E-10
PA_Nylon,1000,3.01E-12,9.26E-11,2.85E-09,9.03E-12,2.92E-13,2.79E-10
PA_Nylon,100,2.93E-13,1.35E-11,6.23E-10,1.33E-12,2.83E-14,6.23E-11
PA_Nylon,10,2.39E-14,1.24E-12,6.47E-11,1.22E-13,2.28E-15,6.51E-12
PA_Nylon,1,1.30E-15,6.97E-14,3.73E-12,6.77E-15,1.22E-16,3.75E-13
PET,5000,2.13E-11,3.84E-10,6.91E-09,3.71E-11,2.05E-12,6.71E-10
PET,1000,1.27E-11,2.69E-10,5.72E-09,2.56E-11,1.14E-12,5.72E-10
PET,100,2.30E-12,8.72E-11,3.30E-09,8.01E-12,1.86E-13,3.45E-10
PET,10,2.06E-13,1.33E-11,8.66E-10,1.20E-12,1.59E-14,9.10E-11
PET,1,1.50E-14,1.21E-12,9.80E-11,1.09E-13,1.20E-15,9.98E-12
PHA,5000,8.10E-13,1.98E-11,4.84E-10,2.01E-12,8.80E-14,4.57E-11
PHA,1000,1.59E-13,4.03E-12,1.03E-10,4.09E-13,1.71E-14,9.74E-12
PHA,100,1.21E-14,3.00E-13,7.42E-12,3.03E-14,1.27E-15,7.23E-13
PHA,10,5.37E-16,1.16E-14,2.52E-13,1.17E-15,5.39E-17,2.54E-14
PHA,1,2.72E-17,4.14E-16,6.30E-15,4.14E-17,2.71E-18,6.34E-16
PLA,5000,2.56E-11,4.50E-10,7.92E-09,4.34E-11,2.57E-12,7.32E-10
PLA,1000,2.20E-11,3.93E-10,7.02E-09,3.78E-11,2.21E-12,6.46E-10
PLA,100,8.89E-12,2.02E-10,4.60E-09,1.95E-11,8.87E-13,4.27E-10
PLA,10,1.20E-12,4.44E-11,1.65E-09,4.29E-12,1.17E-13,1.58E-10
PLA,1,1.08E-13,5.16E-12,2.46E-10,4.99E-13,1.03E-14,2.43E-11
PP,5000,2.26E-11,2.51E-10,2.79E-09,1.85E-10,1.71E-11,2.01E-09
PP,1000,6.24E-12,7.35E-11,8.67E-10,5.41E-11,4.69E-12,6.25E-10
PP,100,5.44E-13,6.13E-12,6.92E-11,4.49E-12,4.01E-13,5.02E-11
PP,10,3.65E-14,3.31E-13,3.01E-12,2.40E-13,2.63E-14,2.20E-12
PP,1,2.87E-15,2.41E-14,2.03E-13,1.74E-14,2.03E-15,1.49E-13
PS,5000,5.11E-11,6.29E-10,7.76E-09,4.65E-10,3.93E-11,5.51E-09
PS,1000,4.09E-11,5.04E-10,6.20E-09,3.70E-10,3.18E-11,4.30E-09
PS,100,1.21E-11,1.85E-10,2.83E-09,1.34E-10,9.59E-12,1.88E-09
PS,10,1.25E-12,2.55E-11,5.21E-10,1.84E-11,9.96E-13,3.39E-10
PS,1,8.11E-14,1.80E-12,4.00E-11,1.30E-12,6.50E-14,2.58E-11
PVC,5000,2.62E-11,4.71E-10,8.47E-09,4.60E-11,2.63E-12,8.04E-10
PVC,1000,2.60E-11,4.66E-10,8.34E-09,4.55E-11,2.61E-12,7.92E-10
PVC,100,2.39E-11,4.17E-10,7.26E-09,4.07E-11,2.40E-12,6.92E-10
PVC,10,1.27E-11,2.22E-10,3.88E-09,2.19E-11,1.27E-12,3.76E-10
PVC,1,2.15E-12,4.41E-11,9.03E-10,4.36E-12,2.13E-13,8.91E-11
TRWP,5000,2.21E-11,4.04E-10,7.39E-09,4.04E-11,2.39E-12,6.82E-10
TRWP,1000,1.49E-11,3.06E-10,6.29E-09,3.07E-11,1.61E-12,5.83E-10
TRWP,100,3.31E-12,1.13E-10,3.87E-09,1.14E-11,3.56E-13,3.68E-10
TRWP,10,3.21E-13,1.92E-11,1.15E-09,1.94E-12,3.39E-14,1.11E-10
TRWP,1,2.57E-14,1.92E-12,1.43E-10,1.93E-13,2.65E-15,1.40E-11
PAN,5000,2.62E-11,4.71E-10,8.48E-09,4.66E-11,2.73E-12,7.94E-10
PAN,1000,2.61E-11,4.66E-10,8.34E-09,4.63E-11,2.72E-12,7.88E-10
