polymer;size;CF_end_lower;CF_end;CF_end_upper
EPS;5000;9.03E-12;3.37E-10;1.25E-08
EPS;1000;1.91E-12;7.69E-11;3.09E-09
EPS;100;1.91E-13;8.09E-12;3.42E-10
EPS;10;1.91E-14;8.16E-13;3.49E-11
EPS;1;1.91E-15;8.16E-14;3.50E-12
HDPE;5000;9.55E-13;1.50E-11;2.35E-10
HDPE;1000;8.44E-13;1.36E-11;2.18E-10
HDPE;100;3.80E-13;8.06E-12;1.71E-10
HDPE;10;5.47E-14;2.14E-12;8.39E-11
HDPE;1;4.97E-15;2.89E-13;1.69E-11
LDPE;5000;9.13E-13;1.46E-11;2.32E-10
LDPE;1000;7.26E-13;1.24E-11;2.11E-10
LDPE;100;2.30E-13;6.08E-12;1.61E-10
LDPE;10;2.55E-14;1.35E-12;7.13E-11
LDPE;1;2.21E-15;1.70E-13;1.31E-11
PA_Nylon;5000;7.82E-16;1.23E-14;1.93E-13
PA_Nylon;1000;7.79E-16;1.23E-14;1.93E-13
PA_Nylon;100;7.54E-16;1.19E-14;1.88E-13
PA_Nylon;10;5.78E-16;9.75E-15;1.64E-13
PA_Nylon;1;1.80E-16;4.50E-15;1.13E-13
PET;5000;7.85E-16;1.22E-14;1.91E-13
PET;1000;7.85E-16;1.22E-14;1.90E-13
PET;100;7.81E-16;1.21E-14;1.89E-13
PET;10;7.41E-16;1.16E-14;1.81E-13
PET;1;5.11E-16;8.97E-15;1.58E-13
PHA;5000;7.70E-16;1.20E-14;1.88E-13
PHA;1000;7.37E-16;1.15E-14;1.79E-13
PHA;100;4.94E-16;7.99E-15;1.29E-13
PHA;10;1.10E-16;2.27E-15;4.67E-14
PHA;1;1.21E-17;2.93E-16;7.12E-15
PLA;5000;7.82E-16;1.22E-14;1.90E-13
PLA;1000;7.82E-16;1.22E-14;1.90E-13
PLA;100;7.82E-16;1.22E-14;1.90E-13
PLA;10;7.76E-16;1.21E-14;1.88E-13
PLA;1;7.23E-16;1.13E-14;1.77E-13
PP;5000;8.66E-13;1.36E-11;2.13E-10
PP;1000;5.96E-13;9.42E-12;1.49E-10
PP;100;1.29E-13;2.28E-12;4.05E-11
PP;10;1.44E-14;2.72E-13;5.14E-12
PP;1;1.45E-15;2.77E-14;5.29E-13
PS;5000;9.74E-13;1.53E-11;2.41E-10
PS;1000;9.54E-13;1.50E-11;2.35E-10
PS;100;7.72E-13;1.24E-11;1.99E-10
PS;10;2.63E-13;5.47E-12;1.13E-10
PS;1;3.22E-14;9.66E-13;2.90E-11
PVC;5000;8.00E-16;1.23E-14;1.90E-13
PVC;1000;8.00E-16;1.23E-14;1.90E-13
PVC;100;8.00E-16;1.23E-14;1.90E-13
PVC;10;7.99E-16;1.23E-14;1.90E-13
PVC;1;7.96E-16;1.23E-14;1.89E-13
TRWP;5000;7.80E-16;1.23E-14;1.92E-13
TRWP;1000;7.80E-16;1.22E-14;1.92E-13
TRWP;100;7.77E-16;1.22E-14;1.92E-13
TRWP;10;7.52E-16;1.18E-14;1.87E-13
TRWP;1;5.81E-16;9.89E-15;1.68E-13
